Unnamed: 0,State,lon,lat,Crop,Fraction,harv_area,sw_depth,sw_dist,sw_suit,geometry,country,curr_yield,max_yield
2279,Malema,37.49504,-14.991660000000001,Maize,0.0,0.0,623.0,10.224446848280348,9999,POINT (338183.0643301341 8342046.616199227),moz,4500,6000
11399,Angonia,34.36388,-14.59787,Maize,1.07623715,107.62371499999999,1196.0,16.454077517806784,9999,POINT (183.7444561892189 8381045.987419446),moz,4500,6000
43093,Pebane,38.42908,-16.858179999999994,Maize,0.38565802,38.565802000000005,27.0,3.210848315542782,1,POINT (439183.0634396188 8136045.81733733),moz,4500,6000
29373,Sanga,35.38735,-12.46775,Maize,0.57835279,57.83527899999999,850.0,20.164251832774532,9999,POINT (107183.62097431 8619046.401853321),moz,4500,6000
15719,Nipepe,37.82566,-14.01729,Maize,0.60710992,60.710992000000005,444.0,15.166773951990617,9999,POINT (373183.7062283657 8450046.684536908),moz,4500,6000
18522,Mecanhelas,35.9203,-14.61462,Maize,0.08722324,8.722323999999999,628.0,4.437958307098542,1,POINT (168183.324101984 8382046.362847134),moz,4500,6000
29248,Mossurize,32.6591,-20.817239999999998,Maize,0.39449641,39.449641,344.0,10.821371423030882,9999,POINT (-160816.1649159304 7685046.469283687),moz,4500,6000
12479,Funhalouro,34.347190000000005,-23.10682000000001,Maize,0.07125753,7.125753,94.0,3.5537446831939064,1,POINT (23183.85433137842 7437045.898914791),moz,4500,6000
17718,Homoine,35.33282,-23.77329,Maize,0.05941271,5.9412709999999995,3.0,6.7430622308942185,9999,POINT (126183.2136360591 7366046.089282088),moz,4500,6000
35197,Nampula,39.22501,-15.05981,Maize,0.02370104,2.370104,334.0,3.763869638584823,1,POINT (524183.5726033487 8335046.399395814),moz,4500,6000
36649,Maringue,34.33961,-17.99597,Maize,0.01802337,1.8023369999999999,183.0,3.306817542695089,1,POINT (6184.055299553089 8004045.826195981),moz,4500,6000
36732,Cahora_Bassa,32.845259999999996,-15.62421,Maize,0.02212044,2.2120439999999997,321.0,5.906439358962017,9999,POINT (-160816.3548421197 8263045.873319536),moz,4500,6000
2299,Malema,37.46696,-15.01859,Maize,0.0,0.0,623.0,9.955986968569482,9999,POINT (335183.8575694441 8339046.392665661),moz,4500,6000
19710,Lichinga,35.55127,-13.2463,Maize,0.62921953,62.921953,1316.0,27.54644389429937,9999,POINT (126183.8299225764 8533046.470856786),moz,4500,6000
12600,Muidumbe,40.04769,-11.694230000000001,Maize,1.77410926,177.41092599999996,57.0,0.744759971292486,1,POINT (614183.3885393589 8707045.830249675),moz,4500,6000
5956,Cuamba,36.61954,-15.13778,Maize,1.11845518,111.845518,592.0,0.14241985160217402,1,POINT (244183.3816931284 8325046.501626013),moz,4500,6000
33399,Barue,33.2124,-17.92051,Maize,0.42679978,42.679978000000006,528.0,15.716020430093884,9999,POINT (-113816.5954451383 8009046.585189715),moz,4500,6000
43296,Pebane,38.74805,-17.01249,Maize,0.00254547,0.25454699999999997,9.0,9.568968759421537,9999,POINT (473183.3315090567 8119046.006401947),moz,4500,6000
33055,Mopeia,36.06301,-18.12011,Maize,0.24803851,24.803851,9.0,10.421680472231454,9999,POINT (189183.1754302364 7994046.740657602),moz,4500,6000
39012,Machaze,32.577329999999996,-20.940089999999998,Maize,0.20789735,20.789735,344.0,26.82569224424737,9999,POINT (-168816.4836103918 7671046.380085574),moz,4500,6000
5358,Cuamba,36.40105,-14.74695,Maize,0.21105477,21.105477,584.0,5.419168088256616,9999,POINT (220183.4960222572 8368045.896896103),moz,4500,6000
41245,Macanga,33.31964,-14.18764,Maize,1.5e-07,1.4999999999999999e-05,905.0,20.686250621223127,9999,POINT (-113816.6231175074 8424045.923868658),moz,4500,6000
40922,Macanga,33.94552,-14.67927,Maize,0.68387288,68.387288,993.0,14.085584303202028,9999,POINT (-44816.11571561464 8371046.464026151),moz,4500,6000
23397,Alto_Molocue,37.30482,-15.52355,Maize,0.00208746,0.20874600000000001,608.0,22.949059933843593,9999,POINT (318183.5989845198 8283045.714723703),moz,4500,6000
20525,Lichinga,35.43873,-13.38016,Maize,0.06577674,6.577674000000001,1322.0,15.884121768546011,9999,POINT (114183.9309847662 8518045.865920594),moz,4500,6000
